Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG03AB01GE00S900,2023.06,102680,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG03AB01GE00S900,2023.09,101361,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2023,9
SNEQ.SG03AB01GE00S900,2023.12,108054,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2023,12
SNEQ.SG03AB01GE00S900,2024.03,105390,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2024,3
SNEQ.SG03AB01GE00S900,2024.06,106045,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2024,6
SNEQ.SG03AB01GE00S900,2024.09,103622,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2024,9
SNEQ.SG03AB01GE00S900,2024.12,112285,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2024,12
SNEQ.SG03AB01GE00S900,2025.03,109568,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2025,3
SNEQ.SG03AB01GE00S900,2025.06,109650,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2025,6
SNEQ.SG03AB01GE00S900,2025.09,108336,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2025,9
SNEQ.SG03AB01GE00S900,2025.12,117869,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2025,12
SNEQ.SG03AB01GE00S900,2026.03,115104,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2026,3
SNEQ.SG03AB01GI00S900,2011.06,51496,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2011,6
SNEQ.SG03AB01GI00S900,2011.09,52889,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2011,9
SNEQ.SG03AB01GI00S900,2011.12,56380,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2011,12
SNEQ.SG03AB01GI00S900,2012.03,52472,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2012,3
SNEQ.SG03AB01GI00S900,2012.06,53504,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2012,6
SNEQ.SG03AB01GI00S900,2012.09,53442,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2012,9
SNEQ.SG03AB01GI00S900,2012.12,56880,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2012,12
SNEQ.SG03AB01GI00S900,2013.03,54035,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2013,3
SNEQ.SG03AB01GI00S900,2013.06,54781,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2013,6
SNEQ.SG03AB01GI00S900,2013.09,57103,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2013,9
SNEQ.SG03AB01GI00S900,2013.12,62529,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2013,12
SNEQ.SG03AB01GI00S900,2014.03,58425,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2014,3
SNEQ.SG03AB01GI00S900,2014.06,58920,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2014,6
SNEQ.SG03AB01GI00S900,2014.09,59603,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2014,9
SNEQ.SG03AB01GI00S900,2014.12,63898,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2014,12
SNEQ.SG03AB01GI00S900,2015.03,60395,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2015,3
SNEQ.SG03AB01GI00S900,2015.06,61890,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2015,6
SNEQ.SG03AB01GI00S900,2015.09,62799,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2015,9
SNEQ.SG03AB01GI00S900,2015.12,66931,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2015,12
SNEQ.SG03AB01GI00S900,2016.03,63838,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2016,3
SNEQ.SG03AB01GI00S900,2016.06,65240,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG03AB01GI00S900,2016.09,66241,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG03AB01GI00S900,2016.12,71550,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG03AB01GI00S900,2017.03,68445,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG03AB01GI00S900,2017.06,69539,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG03AB01GI00S900,2017.09,71184,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG03AB01GI00S900,2017.12,77345,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG03AB01GI00S900,2018.03,72648,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG03AB01GI00S900,2018.06,74447,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG03AB01GI00S900,2018.09,75134,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG03AB01GI00S900,2018.12,80362,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG03AB01GI00S900,2019.03,76055,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG03AB01GI00S900,2019.06,78585,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG03AB01GI00S900,2019.09,80035,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG03AB01GI00S900,2019.12,85386,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG03AB01GI00S900,2020.03,79435,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG03AB01GI00S900,2020.06,73087,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG03AB01GI00S900,2020.09,84043,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG03AB01GI00S900,2020.12,88062,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG03AB01GI00S900,2021.03,83756,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG03AB01GI00S900,2021.06,87684,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG03AB01GI00S900,2021.09,86543,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG03AB01GI00S900,2021.12,94969,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG03AB01GI00S900,2022.03,89530,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG03AB01GI00S900,2022.06,94250,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG03AB01GI00S900,2022.09,98149,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG03AB01GI00S900,2022.12,103898,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG03AB01GI00S900,2023.03,97562,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG03AB01GI00S900,2023.06,102158,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG03AB01GI00S900,2023.09,104863,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2023,9
SNEQ.SG03AB01GI00S900,2023.12,107909,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2023,12
SNEQ.SG03AB01GI00S900,2024.03,102554,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2024,3
SNEQ.SG03AB01GI00S900,2024.06,105479,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2024,6
SNEQ.SG03AB01GI00S900,2024.09,106933,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2024,9
SNEQ.SG03AB01GI00S900,2024.12,112532,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2024,12
SNEQ.SG03AB01GI00S900,2025.03,107240,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2025,3
SNEQ.SG03AB01GI00S900,2025.06,108876,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2025,6
SNEQ.SG03AB01GI00S900,2025.09,111677,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2025,9
SNEQ.SG03AB01GI00S900,2025.12,117982,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2025,12
SNEQ.SG03AB01GI00S900,2026.03,112815,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2026,3
SNEQ.SG03AB02G000S900,2011.06,22291,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2011,6
SNEQ.SG03AB02G000S900,2011.09,23356,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2011,9
SNEQ.SG03AB02G000S900,2011.12,25363,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2011,12
SNEQ.SG03AB02G000S900,2012.03,22735,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2012,3
